num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
609,1352,0.007302739607639789,0.24773399036831067,6,270,0.5582922824302134,4.440065681444992,0.059440159487479584,0.8037499635642871,0.0,1.1.2,0.7122252747252747,80,0,-0.000867335433890829,-0.0008438908631460684,0.13136288998357964
609,1352,0.007302739607639789,0.24773399036831067,6,270,0.5582922824302134,4.440065681444992,0.055731658272773967,0.8037499635642871,0.0,1.0.3,1.0,0,0,0.0,0.0,0.0
455,969,0.009381807619693082,0.2315393378023081,6,207,0.545054945054945,4.259340659340659,0.05085373280956532,0.7977432268453941,0.0,2.3.2,0.5199738048461034,0,154,0.002079068012053293,-0.006006736718892958,0.0
559,1178,0.007553170343868018,0.23829675690551014,6,259,0.5384615384615384,4.214669051878354,0.04551152554045102,0.809668004045546,0.0,2.0.2,0.6046337817638266,104,0,-0.0018286372758250643,0.011924777200151837,0.18604651162790697
498,1086,0.00877554483527672,0.2460608596479715,6,226,0.5461847389558233,4.36144578313253,0.05423258573139667,0.8018094477356941,0.0,2.2.2,0.7073906485671192,0,61,0.0012223744914087028,-0.007858556309851883,0.0
103,161,0.030649152865029505,0.20236350812412612,6,43,0.5825242718446602,3.1262135922330097,0.06709196632355463,0.6643550624133148,0.0,3.0.3,0.0703862660944206,8,403,0.021873608029752786,-0.1374543853223793,0.07766990291262135
154,251,0.02130549189372719,0.18736412429609647,6,72,0.538961038961039,3.25974025974026,0.059609607507216576,0.7275314327107156,0.0,3.4.1,0.4507042253521127,51,0,-0.009343660971302317,0.06317637029740086,0.33116883116883117
151,255,0.022516556291390728,0.19599876498554344,6,70,0.543046357615894,3.377483443708609,0.06622520134237239,0.7198805349954551,0.0,3.2.4,0.6428571428571429,8,11,0.0012110643976635388,-0.007650897715260507,0.052980132450331126
151,255,0.022516556291390728,0.19599876498554344,6,70,0.543046357615894,3.377483443708609,0.05588950375983902,0.7198805349954551,0.0,3.1.3,1.0,0,0,0.0,0.0,0.0
238,413,0.014643832216430876,0.19510818942923058,7,118,0.5042016806722689,3.4705882352941178,0.05027922502663644,0.7668626772742995,0.0,3.0.2,0.4182590233545648,87,0,-0.007872724074959852,0.04698214227884434,0.36554621848739494
269,471,0.013066637074848805,0.20404219797638634,6,132,0.5092936802973977,3.5018587360594795,0.053773187931745514,0.7724686066977642,0.0,3.1.1,0.604355716878403,31,0,-0.0015771951415820707,0.005605929423464717,0.11524163568773234
228,402,0.01553443079063297,0.19106921048370834,7,113,0.5043859649122807,3.526315789473684,0.0549133784472549,0.7636052195164529,0.0,2.7.3,0.5872727272727273,0,41,0.0024677937157841657,-0.0088633871813113,0.0
280,479,0.012263184843830006,0.19527222481491555,6,142,0.4928571428571429,3.4214285714285713,0.0561303043531747,0.778757828810021,0.0,2.8.2,0.5902527075812274,52,0,-0.003271245946802965,0.015152609293568098,0.18571428571428572
217,397,0.01693975081071855,0.196782552294214,7,106,0.511520737327189,3.6589861751152073,0.05708409346715953,0.7537173966035589,0.0,3.3.3,0.5504424778761062,1,64,0.0046765659668885455,-0.025040432206462127,0.004608294930875576
205,366,0.017503586800573886,0.18077919721653737,6,93,0.5463414634146342,3.5707317073170732,0.04997696951392842,0.7407836865253898,0.0,3.5.2,0.4533333333333333,32,44,0.0005638359898553352,-0.012933710078169014,0.15609756097560976
464,957,0.008909287257019439,0.2028779665761264,6,219,0.5280172413793104,4.125,0.031713923189983236,0.8032600079270709,0.0,2.7.0,0.2672413793103448,259,0,-0.008594299543554448,0.06247632140168102,0.5581896551724138
86,118,0.03228454172366621,0.19096983867485703,5,31,0.5813953488372093,2.744186046511628,0.13287792894935746,0.6353961371698857,0.0,3.6.1,0.06541129831516353,1,379,0.02337525446664677,-0.16786387075718512,0.011627906976744186
795,1830,0.005798203507437859,0.2444446770748264,6,358,0.5484276729559748,4.60377358490566,0.06978488418865185,0.81151596384507,0.0,1.1.0,0.03727369542066028,709,0,-0.026486338216228353,0.17611982667518422,0.8918238993710692
566,1307,0.008174114262484756,0.232869227358079,6,263,0.5318021201413428,4.618374558303887,0.03266507061917846,0.8058145727950341,0.0,2.5.0,0.5430398425971471,0,229,0.0023759107550468967,-0.0057013910500358644,0.0
258,534,0.01610713962537327,0.20619161051463392,6,117,0.5426356589147286,4.1395348837209305,0.06149686031963948,0.7605391516418429,0.0,3.6.2,0.28292682926829266,15,323,0.007933025362888514,-0.045275421153191164,0.05813953488372093
58,85,0.0514216575922565,0.2222663830422451,6,22,0.5862068965517241,2.9310344827586206,0.11941535386084257,0.6204868154158216,0.0,3.6.3,0.011437908496732025,15,215,0.03531451796688323,-0.1400523362260213,0.25862068965517243
